,name,price,items_sold,rating,seller,city
82,Makaroni Ceu Wewei 1kg,Rp65.000,70+ terjual,5.0,Makaroni Ceu Wewei,Kab. Tangerang
83,Basreng Sangarrr,Rp18.900,3rb+ terjual,4.8,The Little Snacks,Tangerang Selatan
84,Basreng Pinggsnack,Rp16.700,500+ terjual,4.8,Gerai Snack Official Shop,Kab. Tangerang
85,Seblak Coet Instan / Seblak Cobek / Seblak Cocol / Seblak Original,Rp8.900,30+ terjual,4.5,TiTasix Tutug Oncom (TO),Tasikmalaya
86,kerupuk mawar putih/ kerupuk seblak rafael,Rp7.300,25 terjual,4.0,juragan bawang merah,Depok
87,cuanki/cuankie lidah isi 100 pcs baso Aci/boci/seblak,Rp26.399,60+ terjual,4.9,ArfaOnlineShop,Tangerang
88,Kerupuk Krupuk Keriting Mawar Putih Mentah Seblak Asli Original,Rp5.850,50+ terjual,5.0,Kyta Bae,Kab. Sumedang
89,CIKEMAM - PAKET BUNDLING SEBLAK (3 PCS),Rp37.000,50+ terjual,5.0,CIKEMAM,Cimahi
90,Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp29.000,100+ terjual,4.9,Lidigeli,Kab. Garut
91,KRUPUK SEBLAK RAFAEL | SEBRING | KERUPUK MAWAR PEDAS DAUN JERUK 250 GR,Rp21.630,70+ terjual,5.0,Toko kue Sumber Mas,Jakarta Timur
92,Seblak Rafael/Seblak Coet Instan Halal,Rp26.600,500+ terjual,4.9,Foodstocks,Jakarta Selatan
93,Seblak Sultan instant,Rp14.000,250+ terjual,4.9,Sultan Meat Shop,Medan
94,Kerupuk Seblak Kencur Pedas / Krupuk Seblak Pedes - Molagi Snack - 250 Gram,Rp15.000,12 terjual,5.0,MOLAGI SNACK,Tangerang Selatan
95,seblak kerupuk kering level pedas,Rp5.000,26 terjual,4.1,Permen Jahe Pekalongan,Kab. Pemalang
96,kerupuk seblak kering mangar manggar jaat akar pedas 250 gram,Rp11.250,6 terjual,4.8,Qie snack,Kab. Jember
97,kerupuk seblak pedas daun jeruk kemasan 70 gram,Rp4.800,27 terjual,5.0,Gudang Snack Solo,Surakarta
98,NAAGIH! Seblak Cuanki Baso Aci Boci Instant Kuliner Bandung Pedas Pool,Rp8.000,100+ terjual,5.0,Ebay Store,Kab. Tangerang
99,1KG Krupuk Seblak Kering Pedas/ Krupuk Seblak Bantet Pedas,Rp21.500,60+ terjual,4.9,Vikasnack02,Kab. Karawang
