name,price,market_cap,volume,circulating_supply
BlackFort Exchange Network,$0.004199,"$18,852,020","$424,433","4,489,589,680 BXN"
Gifto,$0.01823,"$18,814,109","$2,458,481","1,032,167,539 GFT"
Hathor,$0.04098,"$18,741,227","$334,915","457,310,753 HTR"
UniLend,$0.237,"$18,731,384","$1,629,087","79,050,222 UFT"
cheqd,$0.02909,"$18,689,111","$115,805","642,492,815 CHEQ"
Burnedfi,$1.37,"$18,563,325","$184,596","13,589,667 BURN"
Stader,$0.4539,"$18,503,035","$1,335,140","40,763,114 SD"
HOPR,$0.05419,"$18,489,305","$290,580","341,173,813 HOPR"
DeFiChain,$0.02225,"$18,441,238","$1,138,176","828,938,980 DFI"
Altura,$0.01992,"$14,337,670","$11,680,114","719,755,021 ALU"
Botto,$0.2973,"$14,193,439","$89,109","47,745,733 BOTTO"
SwftCoin,$0.003541,"$14,180,289","$2,019,499","4,004,999,999 SWFTC"
DFI.Money,,"$14,129,453","$3,294,948","38,596 YFII"
Quiztok,$0.001437,"$14,145,263","$80,444","9,843,756,487 QTCON"
TARS AI,$0.114,"$14,134,669","$2,089,024","124,015,682 TAI"
KYVE Network,$0.02047,"$14,050,106","$5,504","686,217,114 KYVE"
iMe Lab,$0.03233,"$13,991,933","$5,728,299","432,774,153 LIME"
Gaimin,$0.0008997,"$13,985,598","$130,647","15,545,216,839 GMRX"
MUNCAT,$0.01405,"$14,050,054","$3,813,975","1,000,000,000 MUNCAT"
